ticker,owner,relationship,date,transaction,cost ,num_shares,value_dollars,num_shares_total,sec_form_4_date_filing
SDIG,Beard Gregory A,Chief Executive Officer,Apr 20,Buy,1.00,"1,000,000","1,000,000","3,986,507",Apr 24 09:48 PM
ISRG,Rosa David J.,EVP Chief Strategy & Growth Of,Apr 24,Option Exercise,42.64,"54,000","2,302,382","196,476",Apr 24 09:37 PM
ISRG,Rosa David J.,EVP Chief Strategy & Growth Of,Apr 21,Option Exercise,42.64,"54,000","2,302,382","183,276",Apr 24 09:37 PM
ISRG,Rosa David J.,EVP Chief Strategy & Growth Of,Apr 21,Sale,297.92,"40,800","12,155,173","142,476",Apr 24 09:37 PM
ISRG,Rosa David J.,EVP Chief Strategy & Growth Of,Apr 24,Sale,299.20,"40,764","12,196,446","155,712",Apr 24 09:37 PM
NTRA,Sheena Jonathan,CO-FOUNDER,Apr 21,Sale,54.23,290,"15,727","524,646",Apr 24 09:35 PM
NTRA,Sheena Jonathan,CO-FOUNDER,Apr 24,Sale,54.98,43,"2,364","524,746",Apr 24 09:35 PM
NTRA,RABINOWITZ DANIEL,SEC. AND CHIEF LEGAL OFFICER,Apr 21,Sale,54.27,454,"24,639","176,841",Apr 24 09:35 PM
NTRA,RABINOWITZ DANIEL,SEC. AND CHIEF LEGAL OFFICER,Apr 24,Sale,54.98,342,"18,803","177,143",Apr 24 09:35 PM
NTRA,Chapman Steven Leonard,CEO AND PRESIDENT,Apr 21,Sale,54.27,"1,689","91,662","211,516",Apr 24 09:35 PM
NTRA,Chapman Steven Leonard,CEO AND PRESIDENT,Apr 24,Sale,54.98,885,"48,657","212,405",Apr 24 09:35 PM
NTRA,Brophy Michael Burkes,CHIEF FINANCIAL OFFICER,Apr 21,Sale,54.27,603,"32,725","65,751",Apr 24 09:35 PM
NTRA,Brophy Michael Burkes,CHIEF FINANCIAL OFFICER,Apr 24,Sale,54.98,949,"52,176","67,197",Apr 24 09:35 PM
SGH,Pellegrino Thierry,"SVP, Pres, IPS",Apr 20,Sale,15.98,"2,764","44,165","74,951",Apr 24 09:05 PM
